CustomerName,CustomerNational,CustomerType,RoomType,Duration,Positive_Review,Negative_Review,CustomerPoint,Review_Title,HotelName
Catherine,Úc,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,Brand new and staff were very attentive and accommodating,Nothing,10,Absolutely fantastic loved our stay,Awaken Da Nang Hotel
Mana,Đài Loan,Khách lẻ,Phòng Gia Đình Nhìn Ra Biển,2 đêm,THE STAFF,,10,good experience!,Awaken Da Nang Hotel
Maren,Đức,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,Beautiful view(ocean view- Suite). Comfortable beds. Cold pool- very refreshing at hot days.,There was a firealarm running from 10am to 5pm. We were not informed prior to the alarm and had to take the stairs from the 20 th floor. Elevators were nevertheless running and were stopped when the Alarm went on- also without any kind of Information so that you were stucked. We got a „gift“ from the Manager which was a fruit plate. Most of the staff couldnt speak good english. You can get the View in every other Hotel at that Beach!,"5,0",Nice view but bad information!,Awaken Da Nang Hotel
Elijus,Lithuania,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,"Hotel is in great location, new and modern. Sea view is wonderful, administration staff very polite and friendly.","The biggest things I didn't like is constant control of my movement.
Administration staff is wonderful and polite but hotel management should improve a lot:
1. Once you take an umbrella because it rains you need so sign a contract, once you give the umbrella back you need to write your signature (!).
2. Every bill you pay, you should sign with signature, why you should still do that in 2024?
3. We ordered a breakfast for 1 additional person day before and hotel staff called us 21:30 PM once we were already sleeping to ask how we would pay - at the buffet or during checkout. It was nonsense to ask such a question once we asked by ourselves day before that we would need additional breakfast and will pay an extra for that...
4. During the checkout we were asked to wait while our room will be checked, we waited 20 minutes and went to the parking garage, then we were stopped to wait again and later staff apologised for all that once they checked our room.
5. Second night there were some construction noise in one of the floors.

The hotel staff forced us to feel like we are some criminals but we didn't do anything wrong and didn't have any intentions, I have visited many 5 stars hotels but this one lacked a lot of professionalism and should improve if they want to keep its status.","4,0",Great location with wonderful sea view but terrible hotel management,Awaken Da Nang Hotel
Elijus,Lithuania,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,1 đêm,"Hotel is in great location, new and modern. Sea view is wonderful, administration staff very polite and friendly.","The biggest things I didn't like is constant control of my movement.
Administration staff is wonderful and polite but hotel management should improve a lot:
1. Once you take an umbrella because it rains you need so sign a contract, once you give the umbrella back you need to write your signature (!).
2. Every bill you pay, you should sign with signature, why you should still do that in 2024?
3. We ordered a breakfast for 1 additional person day before and hotel staff called us 21:30 PM once we were already sleeping to ask how we would pay - at the buffet or during checkout. It was nonsense to ask such a question once we asked by ourselves day before that we would need additional breakfast and will pay an extra for that...
4. During the checkout we were asked to wait while our room will be checked, we waited 20 minutes and went to the parking garage, then we were stopped to wait again and later staff apologised for all that once they checked our room.

The hotel staff forced us to feel like we are some criminals but we didn't do anything wrong and didn't have any intentions, I have visited many 5 stars hotels but this one lacked a lot of professionalism and should improve if they want to keep its status.","5,0",Great hotel with wonderful sea view but management of the hotel is bad.,Awaken Da Nang Hotel
Cinavas-prosser,Úc,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,7 đêm,The staff were super helpful and friendly. Nothing was too much trouble.,The pool was very cold and not heated. As it was in a covered area there was no chance for the water to warm up so the pool whilst attractive was not usable.,"7,0",Tốt,Awaken Da Nang Hotel
Không tên,Úc,Nhóm,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,3 đêm,Service was excellent,,10,Xuất sắc,Awaken Da Nang Hotel
Pedro,Hà Lan,Phòng gia đình,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,"Dit is een heel mooi nieuw hotel, de gastvriendelijkheid staat hoog in het vaandel. Kamers zijn dik in orde, ontbijt heeft volop keuze en de wellness massage is echt een aanrader hier.
Wij komen zeker nog eens terug. 😀",Helemaal niks,10,Super mooi hotel,Awaken Da Nang Hotel
علي,Oman,Phòng gia đình,Phòng Giường Đôi có Ban công và Nhìn ra Biển,4 đêm,الفندق رائع جداً، نظيف وهادئ وأثاثه جديد ومريح، موقعه رائع بجنب الشاطىء، تحيط به المطاعم والمقاهي والممشى الواسع الجميل، بقربه سوبر ماركت ومطاعم مأكولات بحرية، بالمناسبة الفندق صارله 4 شهور مفتوح، يعني لسه طازه.,لا شيء,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Marie,Pháp,Cặp đôi,Studio Có Ban Công,1 đêm,"L’accueil la gentillesse la fabuleuse piscine le petit déjeuner 
Superbe établissement",,10,Nuit de transition avec le départ magnifique établissement,Awaken Da Nang Hotel
Jenny,Đức,Cặp đôi,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,"Relativ neues Hotel, alle sehr nett und es war sehr sauber. Zimmer mit teilweise Meerblick war schön. Der Gutschein für die 60 Minütige Massage pro Person war echt toll. Schönes Spa. Pool mit Poolbar.","Pool ist schön aber leider wenig Liegen und überdacht. Frühstück war sehr asiatisch angehaucht, aber man konnte was finden. Es fehlte eine Rooftop Bar. Aber die wird gerade glaube ich gebaut.","9,0",Schönes relativ neues Hotel,Awaken Da Nang Hotel
Marie,Pháp,Phòng gia đình,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,"Hôtel tout récent.
Donc mobilier et infrastructures neuves 
Emplacement idéal front de mer 
Toutes commodités","Le service restauration le soir ...en pleine structuration était très lent .
Seulement 2 tables occupées sur 150 ..'et bcp d attente.
Mais les plats étaient bons .","8,0",Rất tốt,Awaken Da Nang Hotel
Tsuyoshi,Nhật Bản,Khách lẻ,Studio Có Ban Công,2 đêm,朝食が美味しい、プールが快適,,10,また宿泊したいホテルです。,Awaken Da Nang Hotel
Hiroshi,Nhật Bản,Nhóm,Phòng Gia Đình Nhìn Ra Biển,4 đêm,"部屋が新しい
従業員の対応も良い",朝食ブッフェが美味しくない,"8,0",まぁまぁいい感じ,Awaken Da Nang Hotel
Olga,Bồ Đào Nha,Nhóm,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,Piscina deslumbrante; simpatia dos funcionários; massagem excelente; limpeza e conforto do quarto,Não existem cabides no wc para as toalhas; poucos cabides no roupeiro,10,Fabuloso,Awaken Da Nang Hotel
Hans,Đức,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,"Frühstück,. Ausblick ""Oceanview"" Personal vor allem Lexi Lexi war sehr kompetent u. hilfreich",Umgebung. Pool ist zu kalt,10,Xuất sắc,Awaken Da Nang Hotel
Ronald,Đức,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,3 đêm,Ein strandnahes Hotel mit tollen Blick und sehr schönen Zimmern. Sehr freundliches und hilfsbereiten Personal. Besonders die Tips von Minh Tuan waren hilfreich.Danke!.,Es gibt nichts negatives..top Hotel.:-),"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Maurizio,Ý,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,1 đêm,"Camera molto pulita con una bella vetrata sul mare , il servizio alla reception molto professionale e disponibile","La colazione dovrebbe migliorare, ed inoltre aprirsi al gusto occidentale","9,0",Consigliato,Awaken Da Nang Hotel
Fabrice,Pháp,Khách lẻ,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,"La vue de mon balcon au 19eme étage sur le bord de mer 
Hôtel neuf , tres propre , chambre spacieuse et bien équipé / rapport qualité prix très correct","Petit déjeuner normal sans plus dans une grande salle à un étage ne permettant pas d’avoir une belle vue 
Piscine sous un toit , toujours à l’ombre donc très froide ..","9,0",Danang - janvier 2024,Awaken Da Nang Hotel
Elena,Áo,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,Das Zimmer war schön eingerichtet und vor allem das Bad gut angeordnet. Die Lage direkt am Strand und mit einem 24/7 Supermarkt am Ausgang. Es war alles sehr sauber und ordentlich.,"Hier gibt es mehrere Sachen zu bemängeln: 1. wir bekamen nicht das gebuchte Zimmer mit dem Upgrade auf Meerblick, sondern nur den seitlichen Meerblick. Auch wie ich darauf ausdrücklich hingewiesen habe wurde mir unmissverständlich klar gemacht, dass dies unser Zimmer ist. Am Buchungszettel war unser gebuchtes Zimmer per Hand durchgestrichen. 
2. Das Zimmer war nicht um 14:00 Uhr bereit zu beziehen. Wir mussten fast 15 min warten. Auch der checkout dauerte dann eine Weile. 
3. Das Gutscheinsystem mit den inkludieren 200K Verzehrgutschein funktioniert nur 1x und der Restbetrag wird nicht notiert oder weitergegeben. Hinweise darauf fehlten komplett. 
4. Beim Frühstück (welches sehr gut war) wurde nicht nachgeräumt, obwohl es bei unserer Ankunft um 9:00 Uhr noch 1h offen sein sollte. 
5. Der Pool schließt um 20:00 Uhr, was schon sehr früh ist unserer Meinung und Erfahrung nach.","4,0",Nie wieder,Awaken Da Nang Hotel
Minh,Việt Nam,Khách lẻ,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Thang,Việt Nam,Phòng gia đình,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Quyên,Việt Nam,Nhóm,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Ngân,Việt Nam,Phòng gia đình,Phòng Gia Đình Nhìn Ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Linh,Việt Nam,Nhóm,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Trang,Việt Nam,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,3 đêm,,,"1,0",Cực kỳ tệ,Awaken Da Nang Hotel
Leroy,Vương Quốc Anh,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,3 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Jesica,Tây Ban Nha,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Giselle,Úc,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,3 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Hrons,Việt Nam,Nhóm,Phòng Gia Đình Nhìn Ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Hrons,Việt Nam,Nhóm,Phòng Gia Đình Nhìn Ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Hrons,Việt Nam,Nhóm,Phòng Gia Đình Nhìn Ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Liz,Thụy Sỹ,Khách lẻ,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Dianne,Mỹ,Nhóm,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Anil,Ấn Độ,Cặp đôi,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Jack,Vương Quốc Anh,Cặp đôi,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Domenic,Úc,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Sukhija,Ấn Độ,Khách lẻ,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,1 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Hugh,Vương Quốc Anh,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,4 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
David,Vương Quốc Anh,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Emiliano,Ý,Khách lẻ,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,3 đêm,,,"8,0",Rất tốt,Awaken Da Nang Hotel
Cameron,Singapore,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,1 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Oskar,Vương Quốc Anh,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Chi,Mỹ,Phòng gia đình,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Spindler,Đức,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Omar,Morocco (Ma Rốc),Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Susanne,Đan Mạch,Cặp đôi,Suite Có Giường Cỡ King Nhìn Ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
형석,Hàn Quốc,Phòng gia đình,Phòng Gia Đình Nhìn Ra Biển,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Chia,Đài Loan,Phòng gia đình,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Lars,Đức,Khách lẻ,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Shiblan,Saudi Arabia (Ả-rập Xê-út),Nhóm,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Shiblan,Saudi Arabia (Ả-rập Xê-út),Nhóm,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
吉永,Nhật Bản,Nhóm,Phòng Gia Đình Nhìn Ra Biển,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Andreas,Đức,Khách lẻ,Phòng Deluxe Giường Đôi Nhìn Ra Biển Từ Phía Bên Cạnh,2 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Martina,Đức,Phòng gia đình,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,1 đêm,,,"9,0",Tuyệt hảo,Awaken Da Nang Hotel
Maciej,Ba Lan,Khách lẻ,Suite Có Giường Cỡ King Nhìn Ra Biển,5 đêm,,,"9,0",Piękny widok. Doskonałe śniadania. Przyjazny personel.,Awaken Da Nang Hotel
Hiroi,Nhật Bản,Cặp đôi,Phòng Giường Đôi có Ban công và Nhìn ra Biển,1 đêm,,,10,Xuất sắc,Awaken Da Nang Hotel
Jaeseong,Hàn Quốc,Khách lẻ,Phòng Deluxe 2 Giường Đơn Nhìn Ra Biển,3 đêm,,,"7,0",Tốt,Awaken Da Nang Hotel
Minh,Việt Nam,Phòng gia đình,Phòng Premium Có Giường Cỡ King Nhìn Ra Toàn Cảnh Thành Phố Và Sông,1 đêm,Nhân viên thân thiện nhiệt tình,Không có gì,10,Tuyệt vời,Bay Capital Danang
Nguyễn,Việt Nam,Nhóm,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",3 đêm,"Nhân viên/bảo vệ hỗ trợ nhiệt tình.
Cơ sở vật chất sạch sẽ, thiết kế đẹp.
View đẹp nhìn thấy Cầu Rồng",Không có gì để phàn nàn,10,Xuất sắc,Bay Capital Danang
Tâm,Việt Nam,Phòng gia đình,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",3 đêm,View rất thoáng và đẹp. Mọi thứ rất sạch sẽ và gọn gàng. Địa điểm không bị kẹt xe. Đường đi rất tiện.,Đồ ăn chưa được ngon. Đồ ăn ngon hơn sẽ 9.5đ.,"9,0",Chuyến đi tuyệt vời!,Bay Capital Danang
Nhung,Việt Nam,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,Nv chu đáo,Tất cả đều hoàn hảo,10,Tuyệt,Bay Capital Danang
Nga,Việt Nam,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,Dịch vụ và con người,,10,Tuyệt vời,Bay Capital Danang
Trang,Việt Nam,Phòng gia đình,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,2 đêm,Ok!,Not,"8,0",Good!,Bay Capital Danang
Không tên,Việt Nam,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,2 đêm,Nhân viên hotel rất dễ thuơng và nhiệt tình,Không có,"9,0",Good,Bay Capital Danang
Denisa,Vương Quốc Anh,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,"Wow, what a hotel! Probably one of the most iconic rooms we stayed in for a while. The hotel is located on the city side of Da nang, not the beach strip so beware of that. The hotel is brand new, they have the most incredible gym we’ve seen all across Vietnam, all with newest Technogym machines. We tried massages at the spa and that was also a fantastic experience.

The room is extremely comfortable and super beautifully designed. The staff are super attentive and lunch/dinner at the hotel are also great.","My only point would be maybe having a bit more European food at breakfast, but otherwise it was a 10/10 either way.",10,Incredible gem in Da nang,Bay Capital Danang
